Time (seconds),Position (mm) ,,,,,,,,
,225 Hz,B,C,210 Hz,E,F,200 Hz,H,I
6.165,2.1585,1.771,0.996,-1.439,2.9325,3.394,-6.308,2.712,0.609
6.23,3.0435,-0.554,-2.103,0.664,4.3715,1.254,-3.873,4.482,3.154
6.295,0.8305,-1.992,-2.989,3.874,2.1575,-1.255,-0.848,1.494,5.7
6.36,-1.1615,-3.763,-4.206,5.313,-1.1625,-3.247,3.284,-2.158,4.815
6.425,-2.6005,-1.218,-2.325,1.328,-3.4865,-1.845,6.014,-4.04,1.494
6.49,-4.7035,0.332,-1.107,-1.992,-2.8225,-0.369,6.752,-5.479,-2.601
6.555,-1.9365,2.213,1.881,-4.759,-1.0515,1.623,4.833,-3.708,-4.814
6.62,0.9405,3.984,3.763,-3.099,0.0555,4.722,-1.512,-1.937,-2.712
6.685,2.6015,2.656,3.873,1.218,1.7155,2.213,-4.316,-0.277,0.498
6.75,3.4865,0.553,1.439,3.099,3.2645,-0.886,-4.833,3.265,4.15
6.814,1.4945,-0.775,-0.664,4.981,1.3835,-3.173,-2.545,5.589,6.475
6.879,-0.2765,-3.653,-2.103,2.214,-0.9415,-4.649,0.554,1.494,4.04
6.944,-2.3795,-2.103,-4.427,0.332,-2.9335,-2.361,4.317,-2.048,0.83
7.009,-3.9285,0.553,-2.325,-1.881,-1.3835,0.221,7.342,-5.036,-4.04
7.074,-1.1615,2.435,0.664,-3.873,0.4975,2.582,4.833,-2.158,-5.589
7.139,0.4985,4.648,1.771,-2.435,2.7115,4.058,-0.701,0.166,-2.047
7.204,1.8265,2.545,3.541,-0.221,5.1465,5.386,-4.169,2.601,1.051
7.269,3.1545,-0.443,1.106,2.214,1.8255,1.771,-2.324,5.368,4.04
7.334,0.1665,-2.767,0.221,4.317,-0.4985,-1.771,0.406,4.925,6.917
7.399,-1.7155,-4.87,-2.214,4.317,-2.8225,-4.575,3.726,2.601,3.929
7.463,-3.1545,-1.882,-3.653,2.214,-4.9255,-2.804,6.235,-1.715,0.83
7.528,-4.0395,0.442,-1.771,-0.996,-0.9415,-0.664,7.342,-4.04,-2.047
7.593,-1.1615,2.767,0.774,-2.877,1.0515,2.139,2.693,-2.712,-4.814
7.658,0.0555,3.099,3.32,-4.427,2.3795,4.501,-1.66,-0.719,-3.265
7.723,1.9375,5.202,4.759,-1.107,4.0395,5.238,-3.652,1.494,0.498
7.788,3.3755,2.435,1.66,0.886,4.8145,0,-6.161,4.593,2.822
7.853,0.7195,-0.996,-1.439,3.21,2.0475,-2.14,-3.726,6.253,5.921
7.918,-1.9365,-2.546,-1.439,6.198,-1.9375,-3.763,0.627,0.941,3.265
7.983,-3.8185,-3.763,-3.099,3.21,-4.1505,-0.591,3.948,-2.712,0.055
8.048,-1.6045,-0.886,-1.218,0.332,-1.7155,2.066,7.416,-4.925,-2.379
8.113,0.9405,0.885,0.442,-3.099,0.4975,4.058,3.136,-2.933,-5.146
8.178,3.4865,2.103,2.545,-4.98,2.3795,1.697,-0.774,0.055,-3.376
8.243,3.5975,4.316,4.095,-2.656,4.1505,3.984,-4.464,3.486,-0.609
8.308,1.2725,2.213,1.881,0,2.9325,0.369,-3.8,5.146,2.269
8.373,-0.1655,-0.775,-0.222,2.767,-0.3875,-2.14,-2.25,2.38,5.036
8.438,-1.3835,-2.325,-2.657,5.202,-2.9335,-3.911,0.037,-2.269,4.593
8.503,-2.9325,-3.763,-2.657,1.439,-4.4825,-1.55,2.767,-5.146,2.712
8.568,-5.0355,-1.771,-1.55,-1.549,-2.4905,1.106,7.711,-1.826,-1.162
8.633,-1.6045,1.106,1.106,-3.763,0.3875,3.172,4.243,1.494,-4.593
8.698,1.3835,2.877,2.988,-4.316,3.0435,3.541,1.956,3.376,-2.601
8.763,3.5975,4.205,4.095,-1.328,5.1465,4.796,-1.512,5.479,-0.277
8.828,4.5935,2.877,1.881,0.443,2.6005,2.287,-5.349,5.479,1.605
8.893,2.6015,0,-0.775,3.542,-1.6055,-0.443,-3.283,4.261,4.704
8.958,0.7195,-1.66,-1.882,5.423,-3.8185,-2.73,-0.479,2.601,5.921
9.023,-1.9365,-2.767,-3.542,2.435,-0.9415,-4.058,2.693,0.498,3.708
9.088,-3.5965,-1.439,-2.325,-0.11,2.4895,-2.288,5.645,-2.822,0.609
9.153,-2.9325,-0.886,-0.222,-3.099,3.8185,-1.107,3.653,-4.261,-2.601
9.218,-1.1615,1.328,1.217,-5.091,1.0515,0.738,-0.037,-1.826,-6.143
9.283,1.2725,3.873,3.873,-2.877,3.0435,2.951,-2.914,0.941,-3.486
9.348,3.1545,2.213,2.545,0.222,3.9285,1.328,-6.456,2.49,-0.277
9.413,3.0435,-0.886,1.439,2.546,4.5925,-1.107,-2.25,4.372,2.933
9.478,-0.1655,-2.546,-0.775,4.759,-0.2765,-3.173,0.185,5.811,5.7
9.543,-1.9365,-3.763,-2.435,2.656,-3.1545,-4.206,3.726,-1.273,2.712
9.608,-3.4865,-2.435,-3.763,0.664,-4.1505,-2.73,7.121,-5.036,-2.158
9.673,-2.1585,-0.554,-1.439,-2.103,-2.6015,-0.591,3.579,-3.265,-5.81
9.738,0.7195,0.774,0.221,-3.763,-0.4985,1.106,1.365,-1.051,-3.044
9.803,1.9375,2.435,1.881,-2.213,1.2725,3.099,-2.988,1.162,0.277
9.868,2.7115,4.427,3.652,0.886,4.1505,4.205,-5.792,3.597,2.822
9.933,1.1625,-0.443,0.221,3.542,1.2725,-130.341,-1.955,4.593,4.704
